# WASP-39b transmission spectrum 
# This file contains:
# STIS G430L - GO 12473 - Fischer et al. 2016, ApJ and Sing, et al., 2016, Nature
# STIS G750L - GO 12473 - Fischer et al. 2016, ApJ and Sing, et al., 2016, Nature
# WFC3 G102 - GO 14169 - Wakeford et al. 2018, AJ + updated uncertainties [Wakeford 2023 custom run]
# WFC3 G141 - GO 14260 - Wakeford et al. 2018, AJ
# Spitzer 3.6 & 4.5 - Sing et al. 2016
# VLT FORS2 - Nikolov et al. 2016, ApJ
# Data history:
# Presented in part in Sing, et al., 2016, Nature (STIS & Spitzer)
# Presented in full in  Wakeford et al. 2018, AJ (STIS, FORS2, WFC3, & Spitzer)
# ----------------------------------------------------------------------------------------
# Wavelength (microns)  Delta Wavelength (microns)  (Rp/Rs)^2   (Rp/Rs)^2 +/-uncertainty    Ntransits
# ----------------------------------------------------------------------------------------
         0.3300000    0.04000000   0.02208493   0.00034478	1
         0.3825000    0.01250000   0.02153556   0.00031992  	1
         0.4032000    0.00810000   0.02129264   0.00025390  	1
         0.4182000    0.00690000   0.02188900   0.00028963  	2
         0.4325000    0.00750000   0.02137914   0.00025392  	2
         0.4450000    0.00500000   0.02137458   0.00024045  	2
         0.4550000    0.00500000   0.02135061   0.00021884  	2
         0.4650000    0.00500000   0.02114263   0.00021213  	2
         0.4750000    0.00500000   0.02113680   0.00018978  	2
         0.4850000    0.00500000   0.02090002   0.00019310  	2
         0.4950000    0.00500000   0.02123609   0.00019669  	2
         0.5050000    0.00500000   0.02076149   0.00019316  	2
         0.5150000    0.00500000   0.02093081   0.00019327  	2
         0.5250000    0.00500000   0.02121147   0.00021373  	2
         0.5350000    0.00500000   0.02083921   0.00019681  	2
         0.5450000    0.00500000   0.02071011   0.00021104  	2
         0.5550000    0.00500000   0.02142125   0.00025759  	2
         0.5650000    0.00500000   0.02129264   0.00025098  	2
         0.5575000    0.00750000   0.02112729   0.00022000  	2
         0.5764000    0.01140000   0.02126669   0.00014395  	3
         0.5893000    0.00150000   0.02245833   0.00037328  	3
         0.5989000    0.00810000   0.02125000   0.00016964  	3
         0.6185000    0.01150000   0.02117366   0.00017669  	2
         0.6375000    0.00750000   0.02092776   0.00021135  	2
         0.6525000    0.00750000   0.02099853   0.00026860  	2
         0.6700000    0.01000000   0.02058560   0.00024247  	2
         0.6950000    0.01500000   0.02067515   0.00014694  	2
         0.7380000    0.02800000   0.02085599   0.00017350  	2
         0.7684000    0.00250000   0.02177511   0.00035010  	2
         0.7905000    0.01960000   0.02149179   0.00022243  	2
         0.8300000    0.02000000   0.02119936   0.00047466  	1
         0.8750000    0.02500000   0.02111209   0.00037487  	1	
         0.8225000    0.01220000   0.02083699   0.00031365  	1
         0.8592000    0.02450000   0.02097433   0.00019179  	1
         0.9082000    0.02450000   0.02113899   0.00014262  	1
         0.9572000    0.02450000   0.02131252   0.00014955  	1
         1.0062000    0.02450000   0.02114651   0.00013097  	1
         1.0552000    0.02450000   0.02090146   0.00015405  	1
         1.0920000    0.01230000   0.02095301   0.00021848  	1
         1.1165000    0.01220000   0.02130509   0.00024234  	1
         1.1391505    0.00933999   0.02122105   0.00020940  	2
         1.1578305    0.00933999   0.02139076   0.00012282  	2
         1.1765105    0.00933999   0.02134981   0.00012695  	2
         1.1951904    0.00933999   0.02114940   0.00016913  	2
         1.2138704    0.00933999   0.02102757   0.00020001  	2
         1.2325504    0.00933999   0.02112993   0.00014981  	2
         1.2512304    0.00933999   0.02124865   0.00018735  	2
         1.2699105    0.00933999   0.02078714   0.00011807  	2
         1.2885903    0.00933999   0.02140059   0.00022430  	2
         1.3072703    0.00933999   0.02126460   0.00017575  	2
         1.3259503    0.00933999   0.02150129   0.00015116  	2
         1.3446302    0.00933999   0.02150088   0.00013769  	2
         1.3633103    0.00933999   0.02157323   0.00019403  	2
         1.3819902    0.00933999   0.02170861   0.00017281	2  	
         1.4006702    0.00933999   0.02175394   0.00017480	2
         1.4193501    0.00933999   0.02153303   0.00014711  	2
         1.4380302    0.00933999   0.02187041   0.00019134  	2
         1.4567102    0.00933999   0.02182177   0.00022404  	2	
         1.4753901    0.00933999   0.02191561   0.00018744  	2	
         1.4940701    0.00933999   0.02166331   0.00019945  	2
         1.5127501    0.00933999   0.02147278   0.00019658  	2	
         1.5314301    0.00933999   0.02147820   0.00021135  	2	
         1.5501101    0.00933999   0.02148086   0.00015200  	2	
         1.5687900    0.00933999   0.02133857   0.00019788  	2	
         1.5874701    0.00933999   0.02108072   0.00020667  	2
         1.6061500    0.00933999   0.02128230   0.00019604  	2
         1.6248300    0.00933999   0.02130648   0.00024554  	2
         1.6435100    0.00933999   0.02085467   0.00017739  	2
         3.5599999    0.38000000   0.02084558   0.00017614  	1
         4.5000000    0.56000000   0.02148863   0.00021402  	1
