molecule	wavelength_um
H2O	2.569836
H2O	2.581569
H2O	2.597692
H2O	2.620275
H2O	2.630597
H2O	2.666119
H2O	2.674153
H2O	2.693817
H2O	2.719214
H2O	2.737633
H2O	2.757965
H2O	5.422462
CO2	4.223285
CO2	4.240958
CO2	4.265558
CO2	4.279444
CO2	4.299445
CO	4.542265
CO	4.559249
CO	4.580416
CO	4.602477
CO	4.621535
CO	4.641277
CO	4.682643
CO	4.699986
CO	4.722209
CO	4.740502
CO	4.759244
CO	4.778440
CO	4.798096
CH4	3.221042
CH4	3.238893
CH4	3.255273
CH4	3.272973
CH4	3.313771
CH4	3.345830
CH4	3.356818
CH4	3.380346
