wavelength	depth	depth_err
3.300000e-01	2.231672e-02	3.447800e-04
3.825000e-01	2.176735e-02	3.199200e-04
4.032000e-01	2.152443e-02	2.539000e-04
4.182000e-01	2.212079e-02	2.896300e-04
4.325000e-01	2.161093e-02	2.539200e-04
4.450000e-01	2.160637e-02	2.404500e-04
4.550000e-01	2.158240e-02	2.188400e-04
4.650000e-01	2.137442e-02	2.121300e-04
4.750000e-01	2.136859e-02	1.897800e-04
4.850000e-01	2.113181e-02	1.931000e-04
4.950000e-01	2.146788e-02	1.966900e-04
5.013171e-01	2.150109e-02	0.000000e+00
5.023197e-01	2.150467e-02	0.000000e+00
5.033244e-01	2.150949e-02	0.000000e+00
5.043310e-01	2.151072e-02	0.000000e+00
5.050000e-01	2.099328e-02	1.931600e-04
5.053397e-01	2.151051e-02	0.000000e+00
5.063504e-01	2.151133e-02	0.000000e+00
5.073631e-01	2.151230e-02	0.000000e+00
5.083778e-01	2.151264e-02	0.000000e+00
5.093946e-01	2.151261e-02	0.000000e+00
5.104133e-01	2.151280e-02	0.000000e+00
5.114342e-01	2.151322e-02	0.000000e+00
5.124570e-01	2.151345e-02	0.000000e+00
5.134820e-01	2.151369e-02	0.000000e+00
5.145089e-01	2.151388e-02	0.000000e+00
5.150000e-01	2.116260e-02	1.932700e-04
5.155379e-01	2.151398e-02	0.000000e+00
5.165690e-01	2.151437e-02	0.000000e+00
5.176021e-01	2.151458e-02	0.000000e+00
5.186374e-01	2.151499e-02	0.000000e+00
5.196746e-01	2.151535e-02	0.000000e+00
5.207140e-01	2.151578e-02	0.000000e+00
5.217554e-01	2.151628e-02	0.000000e+00
5.227989e-01	2.151677e-02	0.000000e+00
5.238445e-01	2.151733e-02	0.000000e+00
5.248922e-01	2.151785e-02	0.000000e+00
5.250000e-01	2.144326e-02	2.137300e-04
5.259420e-01	2.151843e-02	0.000000e+00
5.269939e-01	2.151898e-02	0.000000e+00
5.280479e-01	2.151959e-02	0.000000e+00
